,Time_[s],Acceleration[g]
0,0,0.008789
1,1,0.009277
2,2,0.008301
3,3,0.008789
4,4,0.007812
5,5,0.008789
6,6,0.008301
7,7,0.008301
8,8,0.008789
9,9,0.009277
10,10,0.007812
11,11,0.008789
12,12,0.008301
13,13,0.008789
14,14,0.008789
15,15,0.007812
16,16,0.007324
17,17,0.008789
18,18,0.008301
19,19,0.008789
20,20,0.008301
21,21,0.008789
22,22,0.008301
23,23,0.008301
24,24,0.009277
25,25,0.008301
26,26,0.008301
27,27,0.008301
28,28,0.008789
29,29,0.008789
30,30,0.008301
31,31,0.008789
32,32,0.008301
33,33,0.008301
34,34,0.008301
35,35,0.008301
36,36,0.007812
37,37,0.008789
38,38,0.009277
39,39,0.008301
40,40,0.008301
41,41,0.008301
42,42,0.008301
43,43,0.008301
44,44,0.008789
45,45,0.007812
46,46,0.008789
47,47,0.008301
48,48,0.008301
49,49,0.007812
50,50,0.009277
51,51,0.008789
52,52,0.008301
53,53,0.007812
54,54,0.008301
55,55,0.008789
56,56,0.008789
57,57,0.008789
58,58,0.008301
59,60,0.008789
60,60,0.007812
61,62,0.007812
62,63,0.008301
63,64,0.008301
64,65,0.008789
65,66,0.008789
66,67,0.008301
67,67,0.007812
68,69,0.007812
69,70,0.008301
70,71,0.008301
71,72,0.008301
72,73,0.008301
73,74,0.008301
74,75,0.008789
75,76,0.007812
76,77,0.008301
77,78,0.007812
78,79,0.007324
79,80,0.008301
80,81,0.007812
81,82,0.008301
82,83,0.008301
83,84,0.008301
84,85,0.008301
85,86,0.008301
86,87,0.008789
87,88,0.008301
88,89,0.008301
89,90,0.008301
90,91,0.008789
91,92,0.008301
92,93,0.008789
93,94,0.008789
94,95,0.008789
95,96,0.008789
96,97,0.008301
97,98,0.008789
98,99,0.007812
99,100,0.007812
