,Time_[s],Acceleration[g]
0,0,0.009277
1,1,0.010254
2,2,0.018066
3,3,0.003418
4,4,0.01123
5,5,0.008789
6,6,0.010742
7,7,0.010254
8,8,0.008789
9,9,0.007812
10,10,0.007812
11,11,0.008789
12,12,0.006348
13,13,0.009277
14,14,0.009766
15,15,0.008301
16,16,0.008301
17,17,0.010742
18,18,0.008789
19,19,0.007324
20,20,0.010742
21,21,0.010254
22,22,0.010254
23,23,0.004395
24,24,0.005859
25,25,0.012207
26,26,0.008301
27,27,0.007324
28,28,0.01123
29,29,0.008301
30,30,0.009766
31,31,0.011719
32,32,0.009766
33,33,0.007324
34,34,0.008301
35,35,0.010742
36,36,0.010254
37,37,0.008789
38,38,0.00293
39,39,0.008301
40,40,0.008789
41,41,0.008301
42,42,0.009277
43,43,0.009766
44,45,0.008789
45,45,0.010254
46,46,0.010742
47,48,0.010742
48,49,0.009277
49,49,0.009277
50,50,0.010254
51,51,0.008789
52,52,0.009766
53,53,0.007324
54,54,0.010254
55,55,0.010254
56,56,0.009766
57,57,0.008301
58,59,0.011719
59,60,0.008789
60,61,0.008301
61,62,0.007812
62,63,0.009277
63,64,0.009277
64,65,0.008789
65,66,0.007324
66,67,0.010742
67,68,0.008789
68,69,0.013184
69,70,0.009277
70,71,0.009766
71,72,0.008301
72,73,0.009277
73,74,0.009766
74,75,0.009766
75,76,0.009766
76,77,0.010254
77,78,0.009277
78,79,0.009766
79,80,0.008301
80,81,0.008789
81,82,0.008789
82,83,0.009277
83,84,0.008789
84,85,0.009277
85,86,0.008301
86,87,0.009766
87,88,0.007324
88,89,0.009277
89,90,0.008301
90,91,0.009766
91,92,0.009766
92,93,0.009766
93,94,0.009277
94,95,0.010254
95,96,0.009277
96,97,0.006836
97,98,0.008789
98,99,0.009766
99,100,0.009277
