,Time_[s],Acceleration[g]
0,0,0.009766
1,0,0.010742
2,0,0.009766
3,1,0.009766
4,2,0.009766
5,3,0.009766
6,5,0.009277
7,6,0.009766
8,6,0.010254
9,8,0.009766
10,9,0.01123
11,10,0.009766
12,11,0.006348
13,12,0.009766
14,13,0.010742
15,13,0.009277
16,15,0.009766
17,16,0.009766
18,17,0.010742
19,18,0.010254
20,19,0.010742
21,20,0.009766
22,21,0.009277
23,22,0.009766
24,23,0.009277
25,24,0.009277
26,25,0.009277
27,26,0.010254
28,27,0.009277
29,28,0.009277
30,29,0.009766
31,30,0.010254
32,31,0.008789
33,32,0.009766
34,33,0.008789
35,34,0.010254
36,35,0.009277
37,36,0.008789
38,37,0.010254
39,38,0.008789
40,39,0.008301
41,40,0.009277
42,41,0.009766
43,42,0.008789
44,43,0.010254
45,44,0.009277
46,45,0.010254
47,46,0.010254
48,47,0.010254
49,48,0.009277
50,49,0.01123
51,50,0.009766
52,51,0.010742
53,52,0.009766
54,53,0.009277
55,54,0.009766
56,55,0.008789
57,56,0.010254
58,57,0.008301
59,58,0.010742
60,59,0.009277
61,60,0.009277
62,61,0.008789
63,62,0.010742
64,63,0.010254
65,64,0.009277
66,65,0.009766
67,67,0.008789
68,67,0.010742
69,68,0.008301
70,69,0.008789
71,70,0.009766
72,71,0.009277
73,72,0.010254
74,73,0.008789
75,75,0.009277
76,76,0.006348
77,77,0.010742
78,78,0.009766
79,79,0.009766
80,80,0.010254
81,81,0.009766
82,82,0.008301
83,83,0.010254
84,84,0.009277
85,85,0.009766
86,86,0.010742
87,87,0.008789
88,88,0.009277
89,89,0.009766
90,90,0.009766
91,91,0.009766
92,92,0.009766
93,93,0.009277
94,94,0.009766
95,95,0.009277
96,96,0.009766
97,97,0.009766
98,98,0.009766
99,99,0.009766
