,Time_[s],Acceleration[g]
0,0,0.008301
1,1,0.009277
2,2,0.011719
3,3,0.010254
4,4,0.008301
5,5,0.008789
6,6,0.009277
7,7,0.008789
8,8,0.008789
9,9,0.006348
10,10,0.009277
11,11,0.010254
12,12,0.007812
13,13,0.010254
14,14,0.009277
15,15,0.011719
16,16,0.009277
17,17,0.006836
18,18,0.01123
19,19,0.010742
20,20,0.008789
21,21,0.009277
22,22,0.010742
23,23,0.008301
24,24,0.016602
25,25,0.012207
26,26,0.008789
27,27,0.008301
28,28,0.009766
29,29,0.009277
30,30,0.009766
31,31,0.008789
32,32,0.009766
33,33,0.009277
34,34,0.009277
35,35,0.008789
36,36,0.010742
37,37,0.010742
38,38,0.008789
39,39,0.008301
40,40,0.008789
41,41,0.008789
42,42,0.009277
43,43,0.01123
44,44,0.008301
45,45,0.012207
46,46,0.008301
47,47,0.009277
48,48,0.009277
49,49,0.008789
50,50,0.009766
51,51,0.009277
52,53,0.010254
53,53,0.009277
54,54,0.006836
55,55,0.006348
56,57,0.007812
57,57,0.007324
58,58,0.009277
59,60,0.008789
60,61,0.008789
61,62,0.007812
62,63,0.007324
63,64,0.008789
64,65,0.008789
65,66,0.006348
66,66,0.007812
67,67,0.007812
68,69,0.009766
69,70,0.009277
70,71,0.009277
71,72,0.007812
72,73,0.009766
73,74,0.010254
74,75,0.005371
75,76,0.008301
76,77,0.009766
77,78,0.008301
78,79,0.009277
79,80,0.008301
80,81,0.008301
81,82,0.01123
82,83,0.007324
83,84,0.009277
84,85,0.009277
85,86,0.01123
86,87,0.009766
87,88,0.009277
88,89,0.009766
89,90,0.010742
90,91,0.003906
91,92,0.010742
92,93,0.007324
93,94,0.010254
94,95,0.008301
95,96,0.01123
96,97,0.147461
97,98,0.015625
98,99,-0.27002
99,100,0.009766
