,Time_[s],Acceleration[g]
0,0,0.006836
1,1,0.007812
2,1,0.001953
3,3,0.01123
4,3,0.002441
5,5,0.008301
6,6,0.009766
7,7,0.006836
8,8,0.007812
9,9,0.008301
10,10,0.007324
11,11,0.007812
12,12,0.007812
13,13,0.008301
14,14,0.008301
15,15,0.007812
16,16,0.007812
17,17,0.008301
18,18,0.007324
19,19,0.008301
20,20,0.008301
21,21,0.007324
22,22,0.007812
23,23,0.007812
24,24,0.008789
25,25,0.007812
26,26,0.008301
27,27,0.008789
28,28,0.008301
29,29,0.008301
30,30,0.007324
31,31,0.008789
32,32,0.007812
33,33,0.008301
34,34,0.007812
35,35,0.008789
36,36,0.008301
37,37,0.008301
38,38,0.007812
39,39,0.008301
40,40,0.008301
41,41,0.007324
42,42,0.007812
43,43,0.008301
44,44,0.008301
45,45,0.007812
46,46,0.007812
47,47,0.007812
48,48,0.007812
49,49,0.008301
50,50,0.008301
51,51,0.007812
52,52,0.008301
53,53,0.007812
54,54,0.008301
55,55,0.007812
56,57,0.007812
57,57,0.007324
58,58,0.008789
59,59,0.007812
60,60,0.008301
61,61,0.007812
62,63,0.007324
63,63,0.008789
64,64,0.008789
65,66,0.008301
66,67,0.007812
67,68,0.008301
68,69,0.008301
69,70,0.007812
70,71,0.007812
71,72,0.007812
72,73,0.008301
73,74,0.007812
74,75,0.008789
75,76,0.007812
76,77,0.007812
77,78,0.008301
78,79,0.007324
79,80,0.007324
80,81,0.007812
81,82,0.007812
82,83,0.007812
83,84,0.008301
84,85,0.008301
85,86,0.008301
86,87,0.007324
87,88,0.008301
88,89,0.007812
89,90,0.007812
90,91,0.008301
91,92,0.007812
92,93,0.007812
93,94,0.008301
94,95,0.008301
95,96,0.007812
96,97,0.007324
97,98,0.007812
98,99,0.007324
99,100,0.008789
