,Time_[s],Acceleration[g]
0,0,0.008301
1,1,0.007812
2,1,0.008301
3,3,0.008301
4,4,0.007812
5,5,0.007324
6,6,0.008789
7,7,0.007812
8,8,0.007812
9,9,0.007812
10,10,0.008789
11,11,0.008301
12,12,0.007324
13,13,0.008301
14,14,0.008301
15,15,0.007812
16,16,0.008301
17,17,0.007812
18,18,0.006836
19,19,0.007812
20,20,0.007812
21,21,0.008301
22,22,0.008789
23,23,0.008301
24,24,0.007812
25,25,0.008789
26,26,0.008789
27,27,0.007324
28,28,0.009766
29,29,0.008301
30,30,0.008301
31,31,0.008301
32,32,0.007812
33,33,0.007812
34,34,0.007812
35,35,0.009766
36,36,0.005859
37,37,0.007324
38,38,0.008301
39,39,0.009277
40,40,0.009277
41,41,0.006348
42,42,0.008789
43,43,0.007812
44,44,0.008301
45,45,0.007324
46,46,0.007324
47,47,0.008301
48,48,0.010254
49,49,0.016113
50,50,0.010254
51,51,0.000488
52,52,0.007812
53,53,0.005371
54,54,0.012207
55,55,0.009277
56,57,0.003906
57,57,0.006836
58,58,0.009766
59,60,0.008301
60,61,0.007812
61,62,0.007812
62,63,0.007812
63,64,0.007812
64,65,0.006836
65,66,0.008301
66,67,0.005371
67,68,0.009766
68,69,0.008301
69,70,0.008789
70,71,0.007812
71,72,0.009277
72,73,0.007324
73,74,0.008301
74,75,0.008789
75,76,0.007324
76,77,0.008789
77,78,0.007812
78,79,0.008301
79,80,0.008789
80,81,0.008789
81,82,0.008789
82,83,0.008789
83,84,0.010742
84,85,0.009766
85,86,0.008301
86,87,0.007324
87,88,0.007812
88,89,0.006348
89,90,0.007324
90,91,0.008789
91,92,0.008301
92,93,0.008789
93,94,0.009277
94,95,0.007812
95,96,0.007812
96,97,0.008789
97,98,0.004883
98,99,0.009277
99,100,0.005859
