,Time_[s],Acceleration[g]
0,0,0.008789
1,0,0.010742
2,1,0.008789
3,3,0.007812
4,3,0.01123
5,5,0.009277
6,6,0.010742
7,6,0.008789
8,8,0.007812
9,8,0.01123
10,10,0.008301
11,11,0.010742
12,12,0.006348
13,13,0.007812
14,14,0.007812
15,15,0.010254
16,16,0.008301
17,17,0.008301
18,18,0.006836
19,19,0.006348
20,20,0.008301
21,21,0.01123
22,22,0.009277
23,23,0.010742
24,24,0.007324
25,25,0.009766
26,26,0.009277
27,27,0.006836
28,28,0.009766
29,29,0.010254
30,30,0.008789
31,31,0.008301
32,32,0.008301
33,33,0.008789
34,34,0.008301
35,35,0.009277
36,36,0.008789
37,37,0.008789
38,38,0.008301
39,39,0.008301
40,40,0.007812
41,41,0.008301
42,42,0.007812
43,43,0.008301
44,44,0.008789
45,45,0.008789
46,46,0.007812
47,47,0.007324
48,48,0.008301
49,49,0.008301
50,50,0.007812
51,51,0.008301
52,52,0.008301
53,53,0.008301
54,54,0.008789
55,55,0.008301
56,56,0.008789
57,57,0.008301
58,58,0.007812
59,59,0.008301
60,61,0.008301
61,61,0.008789
62,62,0.008301
63,63,0.008301
64,65,0.008789
65,65,0.006836
66,66,0.007324
67,68,0.008301
68,69,0.008789
69,70,0.008789
70,71,0.009277
71,72,0.008301
72,73,0.007812
73,74,0.007812
74,75,0.007324
75,76,0.004883
76,77,-0.000488
77,78,0.007324
78,79,0.006836
79,80,0.001953
80,81,0.012207
81,82,0.007324
82,83,0.006836
83,84,0.007812
84,85,0.008301
85,86,0.008301
86,87,0.008301
87,88,0.008301
88,89,0.005371
89,90,0.007812
90,91,0.008301
91,92,0.008301
92,93,0.008301
93,94,0.007812
94,95,0.007812
95,96,0.007812
96,97,0.007812
97,98,0.007812
98,99,0.008301
99,100,0.008301
