,Time_[s],Acceleration[g]
0,0,0.008301
1,1,0.007812
2,1,0.008301
3,3,0.008789
4,3,0.009277
5,5,0.008789
6,6,0.006348
7,6,0.006836
8,8,0.005859
9,9,0.009766
10,10,0.006348
11,11,0.007324
12,12,0.008789
13,13,0.007812
14,14,0.008301
15,15,0.007812
16,16,0.006836
17,17,0.007812
18,18,0.008301
19,19,0.008789
20,20,0.008301
21,21,0.008301
22,22,0.007812
23,23,0.007324
24,24,0.009277
25,25,0.007812
26,26,0.007812
27,27,0.007324
28,28,0.006348
29,29,0.007324
30,30,0.003418
31,31,0.004395
32,32,0.007324
33,33,0.008789
34,34,0.009766
35,35,0.010254
36,36,0.008301
37,37,0.006348
38,38,0.006348
39,39,0.006836
40,41,0.009277
41,41,0.008301
42,42,0.008301
43,43,0.009277
44,44,0.007812
45,45,0.012207
46,46,0.007812
47,47,0.006836
48,48,0.006348
49,49,0.007812
50,50,0.010254
51,51,0.008301
52,52,0.006836
53,53,0.010254
54,54,0.006836
55,55,0.007812
56,57,0.008789
57,58,0.007324
58,58,0.007812
59,60,0.008301
60,61,0.007812
61,61,0.008789
62,62,0.008301
63,63,0.008301
64,64,0.008301
65,66,0.008301
66,66,0.004395
67,67,0.010254
68,69,0.006836
69,70,0.007324
70,71,0.007812
71,72,0.007812
72,73,0.009277
73,74,0.007812
74,75,0.004883
75,76,0.008301
76,77,0.009277
77,78,0.008301
78,79,0.007812
79,80,0.005859
80,81,0.015137
81,82,0.010742
82,83,0.010254
83,84,0.007324
84,85,0.008301
85,86,0.007324
86,87,0.008789
87,88,0.007812
88,89,0.008301
89,90,0.006348
90,91,0.008789
91,92,0.009277
92,93,0.008789
93,94,0.008301
94,95,0.007324
95,96,0.007324
96,97,0.007324
97,98,0.007812
98,99,0.009277
99,100,0.009766
