,Time_[s],Acceleration[g]
0,0,0.008789
1,1,0.008789
2,2,0.008301
3,3,0.008301
4,4,0.009277
5,5,0.007812
6,6,0.007812
7,7,0.008301
8,8,0.008301
9,9,0.008301
10,10,0.007812
11,11,0.008789
12,12,0.009277
13,13,0.007324
14,14,0.007812
15,15,0.008301
16,16,0.007812
17,17,0.008789
18,18,0.008301
19,19,0.008301
20,20,0.008301
21,21,0.007812
22,22,0.008301
23,23,0.007812
24,24,0.008301
25,25,0.008301
26,26,0.008789
27,27,0.008301
28,28,0.008789
29,29,0.008301
30,30,0.007812
31,31,0.007812
32,32,0.008301
33,33,0.008301
34,34,0.008301
35,35,0.007324
36,36,0.008301
37,37,0.007812
38,38,0.008301
39,39,0.007812
40,40,0.008301
41,41,0.008301
42,42,0.008789
43,43,0.007324
44,44,0.007324
45,45,0.008301
46,46,0.008301
47,47,0.007812
48,48,0.008301
49,49,0.008789
50,50,0.009277
51,51,0.008301
52,52,0.008301
53,54,0.007324
54,55,0.007812
55,55,0.008301
56,57,0.008301
57,57,0.007812
58,58,0.008789
59,59,0.007812
60,60,0.007812
61,61,0.008301
62,63,0.008301
63,64,0.008301
64,65,0.003418
65,66,0.005859
66,67,0.009766
67,68,0.010742
68,69,0.009766
69,70,0.010254
70,71,0.009277
71,72,0.008301
72,73,0.003418
73,74,0.007812
74,75,0.007324
75,76,0.007324
76,77,0.008789
77,78,0.007812
78,79,0.008789
79,80,0.008301
80,81,0.008301
81,82,0.007812
82,83,0.008301
83,84,0.008301
84,85,0.008301
85,86,0.007812
86,87,0.007812
87,88,0.008789
88,89,0.008789
89,90,0.008301
90,91,0.009277
91,92,0.009277
92,93,0.007812
93,94,0.008789
94,95,0.008789
95,96,0.008301
96,97,0.008301
97,98,0.007812
98,99,0.008789
99,100,0.007812
