,Time_[s],Acceleration[g]
0,0,0.005859
1,1,0.008789
2,1,0.009277
3,2,0.007812
4,3,0.006836
5,5,0.008789
6,6,0.008301
7,7,0.008301
8,8,0.008301
9,8,0.007812
10,10,0.007812
11,11,0.008301
12,12,0.007812
13,13,0.008301
14,14,0.008301
15,15,0.007812
16,16,0.008301
17,17,0.007324
18,18,0.007812
19,19,0.008301
20,20,0.008301
21,21,0.008789
22,22,0.008301
23,23,0.007812
24,24,0.008301
25,25,0.008301
26,26,0.008301
27,27,0.008301
28,28,0.007812
29,29,0.008301
30,30,0.007812
31,31,0.007812
32,32,0.007812
33,33,0.007324
34,34,0.006836
35,35,0.008301
36,36,0.007812
37,37,0.007812
38,38,0.008789
39,39,0.008301
40,40,0.007812
41,41,0.008301
42,42,0.007812
43,43,0.008301
44,44,0.008301
45,45,0.008301
46,47,0.008301
47,47,0.008301
48,48,0.008301
49,49,0.007812
50,50,0.008301
51,51,0.007812
52,52,0.008301
53,53,0.008301
54,54,0.007324
55,55,0.008301
56,56,0.008301
57,57,0.007812
58,58,0.007812
59,59,0.008301
60,60,0.007812
61,61,0.007324
62,62,0.007812
63,63,0.008301
64,65,0.007812
65,66,0.008301
66,67,0.008301
67,68,0.007812
68,69,0.008301
69,70,0.008301
70,71,0.007812
71,72,0.008301
72,73,0.008301
73,74,0.007324
74,75,0.007812
75,76,0.008789
76,77,0.008301
77,78,0.008301
78,79,0.007324
79,80,0.007812
80,81,0.008301
81,82,0.007812
82,83,0.008301
83,84,0.0
84,85,0.005859
85,86,0.008301
86,87,0.006348
87,88,0.01123
88,89,0.01416
89,90,0.001953
90,91,0.009766
91,92,0.012695
92,93,0.007324
93,94,0.008789
94,95,0.010742
95,96,0.007324
96,97,0.007812
97,98,0.008301
98,99,0.007324
99,100,0.007324
