WARNING 2024-10-14 00:38:45,745 models excute select_network() not exist sensor_network matched topic:ICCMS/Test Location1/Test Location2/Test Device2/Test Device1/Test Sensor1/Register
DEBUG 2024-10-16 15:23:43,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:44,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:45,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:45,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:46,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:46,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:47,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:47,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:48,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:48,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:49,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:50,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:51,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:51,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:52,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:52,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:53,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:53,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:54,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:54,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:55,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:55,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:56,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:56,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:57,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:57,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:58,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:59,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:59,004 tasks excute check_plug()
DEBUG 2024-10-16 15:24:00,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:00,003 tasks excute check_plug()
DEBUG 2024-10-16 15:24:01,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:02,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:02,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:03,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:03,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:04,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:04,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:05,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:06,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:07,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:07,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:08,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:08,005 tasks excute check_plug()
DEBUG 2024-10-16 15:24:09,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:09,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:10,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:10,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:11,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:11,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:12,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:12,003 tasks excute check_plug()
DEBUG 2024-10-16 15:24:13,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:13,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:14,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:15,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:15,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:16,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:17,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:17,003 tasks excute check_plug()
DEBUG 2024-10-16 15:24:18,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:19,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:20,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:21,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:21,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:22,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:23,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:24,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:24,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:25,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:26,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:26,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:27,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:28,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:29,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:30,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:30,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:31,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:31,003 tasks excute check_plug()
DEBUG 2024-10-16 15:24:32,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:33,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:33,003 tasks excute check_plug()
DEBUG 2024-10-16 15:24:34,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:34,003 tasks excute check_plug()
DEBUG 2024-10-16 15:24:35,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:36,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:37,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:37,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:38,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:38,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:39,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:39,003 tasks excute check_plug()
DEBUG 2024-10-16 15:24:40,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:40,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:41,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:41,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:42,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:43,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:43,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:44,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:45,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:45,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:46,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:46,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:47,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:47,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:48,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:49,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:49,003 tasks excute check_plug()
