WARNING 2024-10-14 16:01:31,738 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Regeister
INFO 2024-10-14 16:02:50,921 client mqtt connect
INFO 2024-10-14 16:04:23,518 client mqtt connect
INFO 2024-10-14 16:04:35,570 client mqtt connect
DEBUG 2024-10-14 16:04:46,802 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Regeister
WARNING 2024-10-14 16:04:46,838 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Regeister
INFO 2024-10-14 16:05:39,828 client mqtt connect
DEBUG 2024-10-14 16:06:19,383 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Regeister
WARNING 2024-10-14 16:06:19,421 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Regeister
INFO 2024-10-14 16:06:43,090 client mqtt connect
INFO 2024-10-14 16:07:05,613 client mqtt connect
INFO 2024-10-14 16:10:12,634 client mqtt connect
DEBUG 2024-10-14 16:10:28,954 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Regeister
WARNING 2024-10-14 16:10:28,992 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Regeister
WARNING 2024-10-14 16:10:28,992 models excute set_network() wrong topic_object.is_action_type:Regeister
DEBUG 2024-10-14 16:10:28,996 client messsage status is False topic:ICCMS/2Campus/SMTLINE/2/1/Regeister
DEBUG 2024-10-14 16:11:00,363 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Register
WARNING 2024-10-14 16:11:00,364 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Register
DEBUG 2024-10-14 16:11:00,374 models excute set_network() Register
DEBUG 2024-10-14 16:11:00,381 models excute set_network() Register success
INFO 2024-10-14 16:13:42,526 client mqtt connect
INFO 2024-10-14 16:13:59,712 client mqtt connect
INFO 2024-10-14 16:14:28,341 client mqtt connect
DEBUG 2024-10-14 16:15:23,041 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
WARNING 2024-10-14 16:15:23,080 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 16:15:23,088 models excute set_network() Register
WARNING 2024-10-14 16:15:23,088 models excute set_network() not regeisted network
DEBUG 2024-10-14 16:15:23,089 client messsage status is False topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 16:15:43,058 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Register
WARNING 2024-10-14 16:15:43,063 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Register
DEBUG 2024-10-14 16:15:43,093 models excute set_network() Register
ERROR 2024-10-14 16:15:43,124 models excute set_network() error: 오류:  중복된 키 값이 "sensor_networking_topic_43468969_pk" 고유 제약 조건을 위반함
DETAIL:  (topic)=(ICCMS/2Campus/SMTLINE/2/1/Value) 키가 이미 있습니다.

DEBUG 2024-10-14 16:15:43,129 client messsage status is False topic:ICCMS/2Campus/SMTLINE/2/1/Register
INFO 2024-10-14 16:17:45,891 client mqtt connect
DEBUG 2024-10-14 16:18:20,343 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Register
WARNING 2024-10-14 16:18:20,408 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Register
DEBUG 2024-10-14 16:18:20,415 models excute set_network() Register
ERROR 2024-10-14 16:18:20,422 models excute set_network() error: 오류:  중복된 키 값이 "sensor_networking_topic_43468969_pk" 고유 제약 조건을 위반함
DETAIL:  (topic)=(ICCMS/2Campus/SMTLINE/2/1/Value) 키가 이미 있습니다.

DEBUG 2024-10-14 16:18:20,424 client messsage status is False topic:ICCMS/2Campus/SMTLINE/2/1/Register
INFO 2024-10-14 16:18:59,117 client mqtt connect
INFO 2024-10-14 16:22:13,006 client mqtt connect
INFO 2024-10-14 16:22:42,649 client mqtt connect
INFO 2024-10-14 16:23:05,014 client mqtt connect
INFO 2024-10-14 16:23:10,964 client mqtt connect
INFO 2024-10-14 16:25:14,990 client mqtt connect
INFO 2024-10-14 16:25:20,863 client mqtt connect
INFO 2024-10-14 16:25:27,783 client mqtt connect
INFO 2024-10-14 16:26:00,520 client mqtt connect
INFO 2024-10-14 16:27:16,953 client mqtt connect
INFO 2024-10-14 16:27:56,350 client mqtt connect
INFO 2024-10-14 16:28:03,242 client mqtt connect
INFO 2024-10-14 16:28:36,605 client mqtt connect
INFO 2024-10-14 16:29:00,152 client mqtt connect
INFO 2024-10-14 16:29:06,995 client mqtt connect
DEBUG 2024-10-14 16:29:42,783 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Register
WARNING 2024-10-14 16:29:42,851 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Register
DEBUG 2024-10-14 16:29:42,860 models excute set_network() Register
INFO 2024-10-14 16:30:10,797 client mqtt connect
INFO 2024-10-14 16:30:16,623 client mqtt connect
INFO 2024-10-14 16:30:42,207 client mqtt connect
DEBUG 2024-10-14 16:30:48,242 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Register
WARNING 2024-10-14 16:30:48,318 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Register
DEBUG 2024-10-14 16:30:48,328 models excute set_network() Register
DEBUG 2024-10-14 16:30:48,334 models excute set_network() Register success
DEBUG 2024-10-14 16:30:48,336 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Confirm
DEBUG 2024-10-14 16:35:05,076 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
INFO 2024-10-14 16:37:14,869 client mqtt connect
INFO 2024-10-14 16:37:17,365 client mqtt connect
DEBUG 2024-10-14 16:37:21,920 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 16:37:21,920 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
INFO 2024-10-14 16:38:46,873 client mqtt connect
INFO 2024-10-14 16:38:49,361 client mqtt connect
DEBUG 2024-10-14 16:38:52,404 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 16:38:52,404 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 16:38:58,259 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 16:38:58,259 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 16:39:06,159 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 16:39:06,159 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
INFO 2024-10-14 16:39:22,187 client mqtt connect
INFO 2024-10-14 16:39:27,085 client mqtt connect
INFO 2024-10-14 16:40:27,022 client mqtt connect
INFO 2024-10-14 16:40:30,785 client mqtt connect
INFO 2024-10-14 16:40:39,772 client mqtt connect
INFO 2024-10-14 16:41:04,207 client mqtt connect
INFO 2024-10-14 16:41:16,203 client mqtt connect
INFO 2024-10-14 16:41:21,013 client mqtt connect
DEBUG 2024-10-14 16:41:36,317 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 16:41:36,317 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 17:41:26,807 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
DEBUG 2024-10-14 17:41:26,807 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
