,Time_[s],Acceleration[g]
0,0,-1.010742
1,1,-1.010254
2,2,-1.010254
3,3,-1.01123
4,4,-1.010254
5,5,-1.009766
6,6,-1.010742
7,7,-1.01123
8,8,-1.010254
9,9,-1.01123
10,10,-1.010742
11,11,-1.01123
12,12,-1.01123
13,13,-1.01123
14,14,-1.01123
15,15,-1.010254
16,16,-1.010254
17,17,-1.010742
18,18,-1.010742
19,19,-1.010742
20,20,-1.01123
21,21,-1.010742
22,22,-1.010742
23,23,-1.010742
24,24,-1.010742
25,25,-1.010742
26,26,-1.010254
27,27,-1.01123
28,28,-1.010742
29,29,-1.010742
30,30,-1.011719
31,31,-1.010742
32,32,-1.010742
33,33,-1.010742
34,34,-1.010742
35,35,-1.010742
36,36,-1.010742
37,37,-1.011719
38,38,-1.010254
39,39,-1.010254
40,40,-1.010742
41,41,-1.010742
42,42,-1.009766
43,43,-1.010742
44,44,-1.010742
45,45,-1.011719
46,46,-1.010254
47,47,-1.010742
48,48,-1.010742
49,49,-1.01123
50,50,-1.010742
51,51,-1.010742
52,52,-1.010742
53,54,-1.010742
54,55,-1.010742
55,55,-1.010742
56,57,-1.010254
57,57,-1.010742
58,58,-1.011719
59,59,-1.010254
60,60,-1.010254
61,61,-1.010254
62,63,-1.011719
63,64,-1.01123
64,65,-1.010742
65,66,-1.009766
66,67,-1.010742
67,68,-1.01123
68,69,-1.01123
69,70,-1.01123
70,71,-1.01123
71,72,-1.01123
72,73,-1.010742
73,74,-1.01123
74,75,-1.010742
75,76,-1.010254
76,77,-1.010742
77,78,-1.011719
78,79,-1.011719
79,80,-1.010742
80,81,-1.010254
81,82,-1.010254
82,83,-1.009766
83,84,-1.010742
84,85,-1.010254
85,86,-1.01123
86,87,-1.010742
87,88,-1.010742
88,89,-1.010742
89,90,-1.010742
90,91,-1.012207
91,92,-1.01123
92,93,-1.01123
93,94,-1.010742
94,95,-1.01123
95,96,-1.011719
96,97,-1.010254
97,98,-1.01123
98,99,-1.010742
99,100,-1.012207
