,Time_[s],Acceleration[g]
0,0,-1.010742
1,1,-1.010742
2,2,-1.01123
3,3,-1.009766
4,4,-1.009766
5,5,-1.010742
6,6,-1.010254
7,7,-1.010742
8,8,-1.010742
9,9,-1.009766
10,10,-1.010742
11,11,-1.010742
12,12,-1.010254
13,13,-1.010254
14,14,-1.012207
15,15,-1.010742
16,16,-1.01123
17,17,-1.011719
18,18,-1.011719
19,19,-1.010742
20,20,-1.010742
21,21,-1.010742
22,22,-1.010742
23,23,-1.011719
24,24,-1.010254
25,25,-1.015137
26,26,-1.012207
27,27,-1.009766
28,28,-1.010742
29,29,-1.010254
30,30,-1.01123
31,31,-1.01123
32,32,-1.01123
33,33,-1.01123
34,34,-1.010742
35,35,-1.01123
36,36,-1.010742
37,37,-1.01123
38,38,-1.010742
39,39,-1.010742
40,40,-1.01123
41,41,-1.010742
42,42,-1.010254
43,43,-1.010742
44,44,-1.010254
45,45,-1.01123
46,46,-1.010742
47,47,-1.010742
48,48,-1.010742
49,49,-1.010742
50,50,-1.010742
51,51,-1.01123
52,53,-1.010742
53,53,-1.010742
54,54,-1.010254
55,55,-1.01123
56,57,-1.010742
57,57,-1.010742
58,58,-1.010742
59,60,-1.010254
60,61,-1.010254
61,62,-1.01123
62,63,-1.010742
63,64,-1.010742
64,65,-1.01123
65,66,-1.010254
66,66,-1.010742
67,68,-1.01123
68,69,-1.010742
69,70,-1.010254
70,71,-1.010742
71,72,-1.010742
72,73,-1.010742
73,74,-1.01123
74,75,-1.010742
75,76,-1.010742
76,77,-1.010742
77,78,-1.010742
78,79,-1.01123
79,80,-1.010742
80,81,-1.010254
81,82,-1.01123
82,83,-1.010742
83,84,-1.010254
84,85,-1.01123
85,86,-1.010742
86,87,-1.010254
87,88,-1.010742
88,89,-1.01123
89,90,-1.010742
90,91,-1.010742
91,92,-1.010742
92,93,-1.010742
93,94,-1.010254
94,95,-1.010742
95,96,-1.009766
96,97,-1.056152
97,98,-0.987793
98,99,-1.024902
99,100,-1.010254
