,Time_[s],Acceleration[g]
0,0,-1.01123
1,0,-1.010742
2,1,-1.010742
3,3,-1.01123
4,3,-1.010254
5,5,-1.010254
6,6,-1.01123
7,6,-1.010742
8,8,-1.010742
9,8,-1.010742
10,10,-1.010254
11,11,-1.010742
12,12,-1.010742
13,13,-1.010254
14,14,-1.010742
15,15,-1.011719
16,16,-1.010254
17,17,-1.010742
18,18,-1.010742
19,19,-1.010742
20,20,-1.01123
21,21,-1.010254
22,22,-1.010254
23,23,-1.011719
24,24,-1.010254
25,25,-1.01123
26,26,-1.010742
27,27,-1.010254
28,28,-1.010742
29,29,-1.010742
30,30,-1.010742
31,31,-1.010742
32,32,-1.010742
33,33,-1.010742
34,34,-1.010254
35,35,-1.010254
36,36,-1.01123
37,37,-1.010742
38,38,-1.010254
39,39,-1.010742
40,40,-1.010742
41,41,-1.010742
42,42,-1.010742
43,43,-1.010742
44,44,-1.009766
45,45,-1.010742
46,46,-1.010742
47,47,-1.010254
48,48,-1.01123
49,49,-1.010742
50,50,-1.010254
51,51,-1.01123
52,52,-1.010254
53,53,-1.010254
54,54,-1.010742
55,55,-1.009766
56,56,-1.010742
57,57,-1.01123
58,58,-1.012207
59,59,-1.010254
60,61,-1.010742
61,61,-1.01123
62,62,-1.010254
63,63,-1.010742
64,65,-1.010742
65,65,-1.010742
66,67,-1.01123
67,68,-1.011719
68,69,-1.011719
69,70,-1.010742
70,71,-1.010742
71,72,-1.01123
72,73,-1.010742
73,74,-1.01123
74,75,-1.01123
75,76,-1.01123
76,77,-1.010742
77,78,-1.01123
78,79,-1.01123
79,80,-1.010254
80,81,-1.010742
81,82,-1.010742
82,83,-1.010254
83,84,-1.009766
84,85,-1.010254
85,86,-1.010742
86,87,-1.010742
87,88,-1.010742
88,89,-1.01123
89,90,-1.010254
90,91,-1.011719
91,92,-1.011719
92,93,-1.010742
93,94,-1.010254
94,95,-1.010254
95,96,-1.01123
96,97,-1.010742
97,98,-1.010254
98,99,-1.009766
99,100,-1.010254
