,Time_[s],Acceleration[g]
0,0,-1.010742
1,0,-1.01123
2,2,-1.01123
3,3,-1.010742
4,3,-1.01123
5,5,-1.010254
6,5,-1.010254
7,7,-1.010742
8,8,-1.010254
9,9,-1.010742
10,10,-1.01123
11,11,-1.009766
12,12,-1.010254
13,13,-1.010742
14,14,-1.010742
15,15,-1.009766
16,16,-1.01123
17,17,-1.010742
18,18,-1.010742
19,19,-1.01123
20,20,-1.011719
21,21,-1.010254
22,22,-1.010742
23,23,-1.010254
24,24,-1.010742
25,25,-1.011719
26,26,-1.010742
27,27,-1.010742
28,28,-1.01123
29,29,-1.01123
30,30,-1.010742
31,31,-1.010742
32,32,-1.010742
33,33,-1.010742
34,34,-1.010254
35,35,-1.010742
36,36,-1.010254
37,37,-1.010742
38,38,-1.01123
39,39,-1.01123
40,40,-1.01123
41,41,-1.010254
42,42,-1.010254
43,43,-1.010742
44,44,-1.009766
45,45,-1.01123
46,46,-1.010254
47,47,-1.010254
48,48,-1.010742
49,49,-1.01123
50,50,-1.010254
51,51,-1.01123
52,52,-1.01123
53,53,-1.010742
54,55,-1.010254
55,55,-1.010254
56,56,-1.010254
57,57,-1.010742
58,58,-1.010254
59,59,-1.010254
60,60,-1.009766
61,62,-1.009766
62,62,-1.01123
63,64,-1.009766
64,65,-1.010254
65,66,-1.010742
66,67,-1.01123
67,68,-1.010742
68,69,-1.010254
69,70,-1.01123
70,71,-1.010254
71,72,-1.01123
72,73,-1.010742
73,74,-1.010742
74,75,-1.010742
75,76,-1.01123
76,77,-1.010742
77,78,-1.010254
78,79,-1.010742
79,80,-1.010742
80,81,-1.010742
81,82,-1.009766
82,83,-1.010742
83,84,-1.010742
84,85,-1.010742
85,86,-1.010742
86,87,-1.010742
87,88,-1.01123
88,89,-1.01123
89,90,-1.012207
90,91,-1.010742
91,92,-1.009766
92,93,-1.010254
93,94,-1.01123
94,95,-1.010742
95,96,-1.010254
96,97,-1.01123
97,98,-1.010254
98,99,-1.010254
99,100,-1.01123
