,Time_[s],Acceleration[g]
0,0,-1.010254
1,0,-1.010254
2,1,-1.009277
3,8,-1.01123
4,8,-1.010742
5,8,-1.010742
6,9,-1.010254
7,10,-1.01123
8,11,-1.010254
9,12,-1.010254
10,13,-1.011719
11,15,-1.010742
12,15,-1.011719
13,16,-1.01123
14,17,-1.010742
15,18,-1.01123
16,20,-1.011719
17,21,-1.010742
18,22,-1.01123
19,22,-1.010254
20,23,-1.01123
21,24,-1.010254
22,25,-1.01123
23,27,-1.010742
24,28,-1.010742
25,29,-1.010742
26,30,-1.010742
27,31,-1.01123
28,32,-1.010742
29,33,-1.010742
30,34,-1.01123
31,35,-1.010742
32,36,-1.010254
33,37,-1.01123
34,38,-1.010742
35,39,-1.010742
36,40,-1.010742
37,41,-1.01123
38,42,-1.01123
39,43,-1.01123
40,44,-1.01123
41,45,-1.010742
42,46,-1.01123
43,47,-1.010742
44,48,-1.01123
45,49,-1.010254
46,50,-1.01123
47,51,-1.01123
48,52,-1.010742
49,53,-1.009766
50,54,-1.010742
51,55,-1.010254
52,56,-1.01123
53,57,-1.010742
54,58,-1.010742
55,59,-1.010254
56,60,-1.011719
57,61,-1.01123
58,62,-1.010742
59,63,-1.010742
60,64,-1.01123
61,65,-1.01123
62,66,-1.011719
63,67,-1.010742
64,68,-1.01123
65,69,-1.010742
66,70,-1.010742
67,71,-1.010254
68,72,-1.010742
69,74,-1.010742
70,74,-1.010742
71,75,-1.010742
72,76,-1.009766
73,78,-1.01123
74,78,-1.010254
75,80,-1.010254
76,80,-1.01123
77,81,-1.01123
78,82,-1.01123
79,83,-1.010742
80,84,-1.010254
81,85,-1.010742
82,86,-1.010742
83,88,-1.011719
84,89,-1.010254
85,90,-1.010742
86,90,-1.01123
87,92,-1.010742
88,93,-1.010254
89,94,-1.010254
90,95,-1.010254
91,96,-1.010742
92,97,-1.010742
93,98,-1.01123
94,99,-1.009766
95,100,-1.010254
96,101,-1.010742
97,102,-1.009766
98,103,-1.010254
99,104,-1.010742
