,Time_[s],Acceleration[g]
0,0,0.001953
1,1,0.002441
2,2,0.002441
3,3,0.003906
4,4,0.002441
5,5,0.00293
6,6,0.001953
7,7,0.004883
8,8,0.000488
9,9,0.0
10,10,0.004395
11,11,0.005859
12,12,0.006836
13,13,0.001465
14,14,0.003418
15,15,0.004883
16,16,0.000977
17,17,0.003906
18,18,0.004395
19,19,0.003906
20,20,0.0
21,21,0.004395
22,22,0.0
23,23,0.015625
24,24,0.006836
25,25,0.004883
26,26,0.006348
27,27,0.005859
28,28,0.002441
29,29,0.005859
30,30,0.000488
31,31,-0.003418
32,32,0.00293
33,33,0.000977
34,34,0.001953
35,35,0.004883
36,36,0.004883
37,37,0.003906
38,38,0.004395
39,39,0.0
40,40,0.003418
41,41,0.004395
42,42,0.004883
43,43,0.004395
44,44,0.003418
45,45,0.002441
46,46,0.001953
47,47,0.009277
48,48,0.005371
49,49,0.0
50,50,0.006836
51,51,0.007812
52,52,0.00293
53,53,0.001953
54,54,0.001953
55,55,0.00293
56,56,0.003906
57,57,0.004395
58,59,0.004395
59,59,0.000488
60,60,0.002441
61,62,0.002441
62,63,0.003906
63,64,0.009277
64,65,-0.002441
65,66,0.003906
66,67,0.002441
67,68,0.003906
68,69,0.003906
69,70,0.002441
70,71,0.004395
71,72,0.005371
72,73,0.010254
73,74,-0.001953
74,75,0.000488
75,76,0.008301
76,77,0.003418
77,78,0.002441
78,79,0.004395
79,80,0.000977
80,81,0.004883
81,82,0.007324
82,83,0.001953
83,84,0.01123
84,85,0.009766
85,86,0.007812
86,87,0.002441
87,88,0.006836
88,89,0.003418
89,90,0.000488
90,91,0.001465
91,92,0.006348
92,93,0.001953
93,94,0.002441
94,95,0.003906
95,96,0.060059
96,97,-0.203125
97,98,0.055664
98,99,0.005371
99,100,0.005371
