,Time_[s],Acceleration[g]
0,0,0.004883
1,0,0.004883
2,1,0.004395
3,3,0.004883
4,4,0.004883
5,5,0.004883
6,6,0.004883
7,7,0.004883
8,8,0.004883
9,9,0.004883
10,10,0.004395
11,11,0.004883
12,12,0.004883
13,13,0.005371
14,14,0.004883
15,15,0.004395
16,16,0.004395
17,17,0.004883
18,18,0.004883
19,19,0.004883
20,20,0.004883
21,21,0.004395
22,22,0.004883
23,23,0.004883
24,24,0.005371
25,25,0.004883
26,26,0.004883
27,27,0.00293
28,28,0.004883
29,29,0.005371
30,30,-0.000488
31,31,0.003418
32,32,0.003418
33,33,0.0
34,34,0.004883
35,35,0.007812
36,36,0.006348
37,37,0.006348
38,38,0.006836
39,39,0.003906
40,40,0.006348
41,41,0.006348
42,42,0.003418
43,43,0.005859
44,44,0.002441
45,45,0.00293
46,46,0.005371
47,47,0.008789
48,48,0.001465
49,49,0.005859
50,50,0.007324
51,51,0.002441
52,52,0.01416
53,53,0.004395
54,54,0.002441
55,55,0.006348
56,56,0.004883
57,57,0.006836
58,58,0.004395
59,59,0.004395
60,60,0.005859
61,61,0.006836
62,62,0.003906
63,64,0.007324
64,65,0.010254
65,66,0.003906
66,67,0.004395
67,68,0.004395
68,69,0.00293
69,70,0.005371
70,71,0.007812
71,72,0.003418
72,73,0.005371
73,74,0.004883
74,75,0.004883
75,76,0.003906
76,77,0.003418
77,78,0.003906
78,79,0.009277
79,80,0.001953
80,81,0.004395
81,82,0.008301
82,83,0.006836
83,84,0.007812
84,85,0.004883
85,86,0.003418
86,87,0.005371
87,88,0.006836
88,89,0.002441
89,90,0.000488
90,91,0.004395
91,92,0.006836
92,93,0.004395
93,94,0.008301
94,95,0.004883
95,96,0.006836
96,97,0.005371
97,98,0.003418
98,99,0.005371
99,100,0.00293
