,Time_[s],Acceleration[g]
0,0,0.003906
1,1,0.003418
2,2,0.007812
3,3,0.010254
4,4,0.000977
5,5,0.006348
6,6,0.003906
7,7,0.004395
8,8,0.004395
9,9,0.004883
10,10,0.004395
11,11,0.005371
12,12,0.004395
13,13,0.004395
14,14,0.004395
15,15,0.004883
16,16,0.004883
17,17,0.004883
18,18,0.004395
19,19,0.004883
20,20,0.004395
21,21,0.005371
22,22,0.005371
23,23,0.005371
24,24,0.004883
25,25,0.003906
26,26,0.004395
27,27,0.004883
28,28,0.004883
29,29,0.004395
30,30,0.005371
31,31,0.005859
32,32,0.004395
33,33,0.004395
34,34,0.004883
35,35,0.005371
36,36,0.004883
37,37,0.004883
38,38,0.004883
39,39,0.004883
40,40,0.004883
41,41,0.004395
42,42,0.004883
43,43,0.004395
44,44,0.004883
45,45,0.004395
46,46,0.004883
47,47,0.004395
48,48,0.004883
49,49,0.004395
50,50,0.004883
51,51,0.004395
52,52,0.004395
53,53,0.004883
54,54,0.004883
55,55,0.004395
56,56,0.004883
57,57,0.003906
58,58,0.004883
59,59,0.004883
60,61,0.005371
61,62,0.005371
62,63,0.005371
63,64,0.004883
64,65,0.005371
65,66,0.004883
66,67,0.004883
67,68,0.004883
68,69,0.005371
69,70,0.004395
70,71,0.004395
71,72,0.004883
72,73,0.004395
73,74,0.005371
74,75,0.004395
75,76,0.004883
76,77,0.004395
77,78,0.004883
78,79,0.004883
79,80,0.004395
80,81,0.005371
81,82,0.004883
82,83,0.004395
83,84,0.005371
84,85,0.004883
85,86,0.004883
86,87,0.004395
87,88,0.004395
88,89,0.003906
89,90,0.005371
90,91,0.005859
91,92,0.004883
92,93,0.004883
93,94,0.004883
94,95,0.004395
95,96,0.005371
96,97,0.004883
97,98,0.004883
98,99,0.003418
99,100,0.005859
