,Time_[s],Acceleration[g]
0,0,0.003418
1,0,0.00293
2,1,0.00293
3,2,0.002441
4,3,0.003418
5,4,0.003418
6,5,0.003418
7,6,0.00293
8,7,0.00293
9,8,0.003418
10,9,0.00293
11,10,-0.007324
12,11,0.004883
13,12,0.002441
14,13,0.00293
15,14,0.00293
16,15,0.00293
17,16,0.003418
18,17,0.00293
19,18,0.003418
20,19,0.003418
21,21,0.003418
22,21,0.003418
23,23,0.003418
24,24,0.00293
25,25,0.00293
26,26,0.003418
27,27,0.003418
28,28,0.00293
29,29,0.00293
30,30,0.002441
31,31,0.003418
32,32,0.004395
33,33,0.003906
34,34,0.003418
35,35,0.00293
36,36,0.00293
37,37,0.002441
38,38,0.00293
39,39,0.003418
40,40,0.001953
41,41,0.002441
42,42,0.003906
43,43,0.003418
44,44,0.00293
45,45,0.003418
46,46,0.00293
47,47,0.003906
48,48,0.00293
49,49,0.003906
50,50,0.00293
51,51,0.002441
52,52,0.003418
53,53,0.00293
54,54,0.003418
55,55,0.00293
56,56,0.00293
57,57,0.002441
58,58,0.004395
59,59,0.003418
60,60,0.00293
61,61,0.00293
62,62,0.003906
63,63,0.004395
64,64,0.003906
65,65,0.003418
66,66,0.003418
67,67,0.00293
68,68,0.002441
69,69,0.002441
70,70,0.001953
71,71,0.00293
72,72,0.003906
73,73,0.00293
74,74,0.00293
75,75,0.001465
76,76,0.002441
77,77,0.003906
78,78,0.003418
79,79,0.003418
80,80,0.003418
81,81,0.003418
82,83,0.003906
83,84,0.00293
84,85,0.001953
85,86,0.00293
86,87,0.003906
87,88,0.00293
88,89,0.003906
89,90,0.003906
90,91,0.003418
91,92,0.00293
92,93,0.00293
93,94,0.003418
94,95,0.003418
95,96,0.00293
96,97,0.002441
97,98,0.00293
98,99,0.003418
99,100,0.003906
