,Time_[s],Acceleration[g]
0,0,0.009277
1,1,0.009766
2,1,0.008301
3,2,0.005859
4,4,0.003906
5,5,0.005859
6,6,0.005371
7,7,0.004395
8,8,0.004883
9,9,0.004883
10,10,0.004883
11,11,0.004883
12,12,0.004883
13,13,0.004883
14,14,0.004395
15,15,0.004883
16,16,0.004883
17,17,-0.010254
18,18,0.006348
19,19,0.005371
20,20,0.005371
21,21,0.004883
22,22,0.005371
23,23,0.005371
24,24,0.004883
25,26,0.005371
26,27,0.004883
27,27,0.004883
28,28,0.004883
29,29,0.004883
30,30,0.004395
31,31,0.004883
32,32,0.004883
33,33,0.004395
34,34,0.004395
35,35,0.005371
36,36,0.004395
37,37,0.004883
38,38,0.004883
39,39,0.004883
40,40,0.004883
41,41,0.004395
42,42,0.005371
43,43,0.004395
44,44,0.004883
45,45,0.004883
46,46,0.003906
47,47,0.005371
48,48,0.004883
49,49,0.00293
50,50,0.005371
51,51,0.005371
52,52,0.005371
53,53,0.004883
54,54,0.004883
55,55,0.009277
56,56,0.00293
57,57,0.004883
58,58,0.004883
59,59,0.004395
60,60,0.004883
61,61,0.004883
62,62,0.004395
63,63,0.004395
64,65,0.005859
65,66,0.004395
66,67,0.004883
67,68,0.004395
68,69,0.004883
69,70,0.004395
70,71,0.004395
71,72,0.004395
72,73,0.004883
73,74,0.003906
74,75,0.001953
75,76,0.003906
76,77,0.010742
77,78,0.008301
78,79,0.004883
79,80,0.005859
80,81,0.004395
81,82,0.005371
82,83,0.004883
83,84,0.005859
84,85,0.004883
85,86,0.004883
86,87,0.004395
87,88,0.004883
88,89,0.004395
89,90,0.005371
90,91,0.004883
91,92,0.004883
92,93,0.004883
93,94,0.004883
94,95,0.003906
95,96,0.003418
96,97,0.004883
97,98,0.004395
98,99,0.008789
99,100,0.003418
