,Time_[s],Acceleration[g]
0,0,0.00293
1,1,0.025879
2,2,0.010742
3,3,0.0
4,4,0.001953
5,5,0.008789
6,6,0.000977
7,7,0.000977
8,8,0.005371
9,9,0.005371
10,10,0.004883
11,11,0.001465
12,12,0.002441
13,13,0.005859
14,14,0.00293
15,15,0.002441
16,16,0.005371
17,17,0.003906
18,18,0.004883
19,19,0.004883
20,20,0.007812
21,21,0.005371
22,22,0.004395
23,23,0.000488
24,24,0.006348
25,25,-0.010254
26,26,0.002441
27,27,0.005371
28,28,0.004395
29,29,0.003906
30,30,0.009277
31,31,0.000488
32,32,0.004883
33,33,0.003418
34,34,0.006348
35,35,0.006348
36,36,0.003418
37,37,-0.008789
38,38,0.001465
39,39,0.003906
40,40,0.001465
41,41,0.003418
42,42,0.003418
43,43,0.002441
44,44,0.004395
45,45,0.00293
46,46,0.001465
47,47,0.001465
48,48,0.003906
49,49,0.005371
50,50,0.001953
51,51,0.003906
52,52,0.001465
53,53,0.004395
54,54,0.001953
55,55,0.000977
56,56,0.005371
57,57,0.003418
58,58,0.001953
59,59,-0.001953
60,60,0.001465
61,62,0.005371
62,63,0.003906
63,64,0.000977
64,65,0.004883
65,66,0.004395
66,67,0.004883
67,68,0.006348
68,69,0.007324
69,70,0.002441
70,71,0.001465
71,72,0.003906
72,73,0.003418
73,74,0.000977
74,75,0.00293
75,76,0.008301
76,77,0.001953
77,78,0.001953
78,79,0.00293
79,80,0.004883
80,81,0.000977
81,82,0.004395
82,83,0.001953
83,84,0.006836
84,85,-0.001953
85,86,0.007812
86,87,0.001953
87,88,0.003906
88,89,0.002441
89,90,0.005371
90,91,0.00293
91,92,0.003906
92,93,0.001953
93,94,0.004883
94,95,0.00293
95,96,0.002441
96,97,0.004883
97,98,0.006348
98,99,0.004395
99,100,0.008789
