,Time_[s],Acceleration[g]
0,0,0.003418
1,1,0.006348
2,2,0.005859
3,3,0.005859
4,4,0.005371
5,5,0.004883
6,6,0.004395
7,7,0.005371
8,8,0.004883
9,9,0.003906
10,10,0.005859
11,11,0.004883
12,12,0.004395
13,13,0.004883
14,14,0.004883
15,15,0.005371
16,16,0.004395
17,17,0.004395
18,18,0.003906
19,19,0.004883
20,20,0.004395
21,21,0.005371
22,22,0.004883
23,23,0.004883
24,24,0.004395
25,25,0.005371
26,26,0.005371
27,27,0.004395
28,28,0.004883
29,29,0.004883
30,30,0.004883
31,31,0.004883
32,32,0.004883
33,33,0.004883
34,34,0.004883
35,35,0.005371
36,36,0.004883
37,37,0.004883
38,38,0.004883
39,39,0.004883
40,40,0.005371
41,41,0.005371
42,42,0.005371
43,43,0.004883
44,44,0.004395
45,46,0.004883
46,46,0.004883
47,47,0.005371
48,48,0.004395
49,49,0.004883
50,50,0.004883
51,51,0.005371
52,52,0.004395
53,53,0.004395
54,54,0.004395
55,55,0.005371
56,56,0.004883
57,57,0.004883
58,58,0.005371
59,59,0.004883
60,61,0.004395
61,62,0.004395
62,63,0.004883
63,64,0.004395
64,65,0.004883
65,66,0.004395
66,67,0.004395
67,68,0.004883
68,69,0.005371
69,70,0.004883
70,71,0.004883
71,72,0.004395
72,73,0.005371
73,74,0.004883
74,75,0.004883
75,76,0.004883
76,77,0.005371
77,78,0.003906
78,79,0.004883
79,80,0.004883
80,81,0.004395
81,82,0.004883
82,83,0.004395
83,84,0.012207
84,85,0.012207
85,86,0.001465
86,87,0.004883
87,88,0.01123
88,89,0.014648
89,90,0.026367
90,91,0.007812
91,92,0.006836
92,93,0.004883
93,94,0.009277
94,95,0.008301
95,96,0.005371
96,97,0.006348
97,98,0.005371
98,99,0.001953
99,100,0.003906
