,Time_[s],Acceleration[g]
0,0,0.003906
1,1,0.006836
2,2,0.006836
3,3,0.006836
4,4,0.006836
5,5,0.003418
6,6,0.001465
7,7,0.005371
8,8,0.007812
9,9,0.004395
10,10,0.006348
11,11,0.005371
12,12,0.004883
13,13,0.005371
14,14,0.003906
15,15,0.004883
16,16,0.005371
17,17,0.005371
18,18,0.005859
19,19,0.005371
20,20,0.004395
21,21,0.003906
22,22,0.01123
23,23,0.013672
24,24,0.004395
25,25,0.008301
26,26,0.004883
27,27,0.004395
28,28,0.006836
29,29,-0.003906
30,30,-0.003418
31,31,0.004395
32,32,0.0
33,33,0.005371
34,34,0.006836
35,35,0.005371
36,36,0.002441
37,37,0.001465
38,38,0.005371
39,40,0.005859
40,40,0.001953
41,41,0.002441
42,42,0.005859
43,43,0.004395
44,44,0.005371
45,45,0.008301
46,46,0.005859
47,47,0.000977
48,48,0.006836
49,49,0.003418
50,50,0.005371
51,51,0.004883
52,52,0.006348
53,53,0.006348
54,54,0.005371
55,55,0.003906
56,56,0.005371
57,57,0.004395
58,59,0.005859
59,59,0.005859
60,60,0.003906
61,62,0.005859
62,63,0.00293
63,64,0.004395
64,65,0.005859
65,66,0.003418
66,67,0.006836
67,68,0.005371
68,69,0.004883
69,70,0.005859
70,71,0.005859
71,72,0.006836
72,73,0.004395
73,74,0.001465
74,75,0.00293
75,76,0.01123
76,77,0.002441
77,78,0.007324
78,79,0.005371
79,80,0.012695
80,81,0.010254
81,82,0.0
82,83,0.008301
83,84,0.006348
84,85,0.005859
85,86,0.005371
86,87,0.004883
87,88,0.005371
88,89,0.005371
89,90,0.007812
90,91,0.003906
91,92,0.003418
92,93,0.003418
93,94,0.005859
94,95,0.006348
95,96,0.005371
96,97,0.004883
97,98,0.004883
98,99,0.001953
99,100,0.003906
